"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"1713601";"Norte";"TO";"Monte do Carmo";1;2;1
"1716109";"Norte";"TO";"Paraíso do Tocantins";4;12;7
"1716505";"Norte";"TO";"Pedro Afonso";6;4;3
"1718204";"Norte";"TO";"Porto Nacional";18;13;10
"1718501";"Norte";"TO";"Recursolândia";2;1;1
"1720903";"Norte";"TO";"Taguatinga";7;1;1
"1721000";"Norte";"TO";"Palmas";122;127;113
"2100055";"Nordeste";"MA";"Açailândia";10;19;2
"2100204";"Nordeste";"MA";"Alcântara";1;1;3
"2100402";"Nordeste";"MA";"Altamira do Maranhão";3;1;1
"2100477";"Nordeste";"MA";"Alto Alegre do Pindaré";1;5;5
"2100600";"Nordeste";"MA";"Amarante do Maranhão";6;7;4
"2100832";"Nordeste";"MA";"Apicum-Açu";2;2;2
"2101004";"Nordeste";"MA";"Arari";3;1;2
"2101202";"Nordeste";"MA";"Bacabal";27;35;21
"2101400";"Nordeste";"MA";"Balsas";25;10;13
"2101608";"Nordeste";"MA";"Barra do Corda";35;32;26
"2101707";"Nordeste";"MA";"Barreirinhas";7;8;13
"2102002";"Nordeste";"MA";"Bom Jardim";2;6;3
"2102101";"Nordeste";"MA";"Brejo";2;4;1
"2102200";"Nordeste";"MA";"Buriti";9;4;5
"2102309";"Nordeste";"MA";"Buriti Bravo";2;1;2
"2102325";"Nordeste";"MA";"Buriticupu";2;3;4
"2102408";"Nordeste";"MA";"Cajapió";4;1;1
"2102705";"Nordeste";"MA";"Cantanhede";1;4;4
"2102903";"Nordeste";"MA";"Carutapera";5;10;5
"2103000";"Nordeste";"MA";"Caxias";170;207;153
"2103208";"Nordeste";"MA";"Chapadinha";48;53;37
"2103307";"Nordeste";"MA";"Codó";22;16;13
"2103406";"Nordeste";"MA";"Coelho Neto";4;8;10
"2103505";"Nordeste";"MA";"Colinas";9;5;4
"2103604";"Nordeste";"MA";"Coroatá";10;12;25
"2103703";"Nordeste";"MA";"Cururupu";29;25;22
"2104008";"Nordeste";"MA";"Esperantinópolis";6;4;4
"2104677";"Nordeste";"MA";"Governador Nunes Freire";23;33;38
"2104800";"Nordeste";"MA";"Grajaú";9;17;10
"2105005";"Nordeste";"MA";"Humberto de Campos";6;4;1
"2105203";"Nordeste";"MA";"Igarapé Grande";1;2;1
"2105302";"Nordeste";"MA";"Imperatriz";268;247;272
